		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101010   26   27   28   25   25   33   23   18  5.927553 0.655347 SUCCESS 110
110101100   25   21   21   23   24   29   25   27  2.282693 0.971096 SUCCESS 111
110110000   21   28   29   27   27   22   15   14 11.076432 0.197406 SUCCESS 112
110110010   18   16   22   21   22   24   26   22  6.058625 0.640665 SUCCESS 113
110110100   24   32   26   18   29   21   23   29  6.664337 0.573243 SUCCESS 114
110111000   24   25   26   22   22   21   19   25  2.357496 0.968045 SUCCESS 115
110111010   26   28   29   33   23   28   24   20  6.148655 0.630585 SUCCESS 116
110111100   31   20   24   30   24   35   21   25  9.275185 0.319616 SUCCESS 117
111000000   22   16   23   26   30   35   26   24  9.630006 0.291960 SUCCESS 118
111000010   26   24   37   35   17   20   24   20 15.569951 0.048966 SUCCESS 119
111000100   20   28   19   19   19   24   22   25  5.339053 0.720799 SUCCESS 120
111000110   24   19   19   19   27   32   26   22  6.798057 0.558569 SUCCESS 121
111001000   22   24   30   18   23   22   27   32  6.375714 0.605224 SUCCESS 122
111001010   25   29   21   32   24   21   33   20  8.300089 0.404719 SUCCESS 123
111001100   26   35   30   30   16   17   25   31 14.698124 0.065288 SUCCESS 124
111010000   32   25   20   31   27   29   30   26  7.751308 0.458133 SUCCESS 125
111010010   23   22   25   23   25   20   16   29  5.145093 0.741962 SUCCESS 126
111010100   17   25   19   32   22   23   29   25  7.256147 0.509265 SUCCESS 127
111010110   25   24   21   26   21   28   14   24  6.246628 0.619627 SUCCESS 128
111011000   24   21   31   27   31   16   20   18 10.017926 0.263770 SUCCESS 129
111011010   19   24   26   13   27   20   28   29  9.407581 0.309087 SUCCESS 130
111011100   27   24   24   30   22   19   18   20  5.662099 0.685022 SUCCESS 131
111100000   23   25   24   27   27   30   25   24  2.029816 0.980084 SUCCESS 132
111100010   33   24   25   17   35   24   23   35 15.088692 0.057444 SUCCESS 133
111100100   27   16   27   23   22   27   23   31  6.104302 0.635550 SUCCESS 134
111100110   27   29   26   28   19   21   20   32  6.833804 0.554666 SUCCESS 135
111101000   25   27   18   28   20   19   27   22  5.170910 0.739163 SUCCESS 136
111101010   25   23   25   20   22   20   21   28  3.035364 0.932119 SUCCESS 137
111101100   28   27   27   20   30   21   25   15  7.518953 0.481810 SUCCESS 138
111101110   20   29   22   33   26   23   19   24  6.527969 0.588307 SUCCESS 139
111110000   21   22   34   26   17   31   22   21  9.645894 0.290764 SUCCESS 140
111110010   25   23   19   27   21   21   20   19  4.652580 0.793981 SUCCESS 141
111110100   25   32   21   25   25   31   23   27  5.199376 0.736070 SUCCESS 142
